state,Obama,Romney,Pollster,days.until
NC,46,43,PPP (D),543
NC,47,44,PPP (D),571
NC,44,42,PPP (D),599
NC,47,44,PPP (D),626
NC,47,44,PPP (D),655
NC,46,43,PPP (D),690
NC,44,44,PPP (D),718
ND,40,54,Mason-Dixon,11
ND,40,54,Rasmussen,21
ND,32,57,Essman/Research,24
ND,40,54,Mason-Dixon,34
ND,39,51,DFM Research (D-ND Dems/NPL),42
ND,35,54,DFM Research (D-ND Dems/NPL),105
ND,36,51,Rasmussen,120
ND,39,52,Mason-Dixon,155
ND,32,51,DFM Research (D-DSCC),196
ND,33,47,Mellman Group (D-DSCC),358
OH,49,48,Gravis Marketing,3
OH,50,46,Ipsos/Reuters (Web),3
OH,51,44,JZ Analytics/Newsmax,3
OH,49,49,Rasmussen,4
OH,52,47,PPP (D),4
OH,51,48,Angus-Reid,4
OH,49,44,SurveyUSA,4
OH,50,49,The Ohio Poll/University of Cincinnati,4
OH,49,46,YouGov,5
OH,50,48,Columbus Dispatch,5
OH,49,45,Grove Insight (D-Project New America/USAction),6
OH,47,45,Ipsos/Reuters (Web),6
OH,49,49,Rasmussen,7
OH,51,45,NBC/WSJ/Marist,7
OH,50,47,CNN,7
OH,50,46,We Ask America,7
OH,46,49,Wenzel Strategies (R-Citizens United),8
OH,50,45,PPP (D-Health Care for America Now),9
OH,50,44,JZ Analytics/Newsmax,9
OH,48,46,The Ohio Poll/University of Cincinnati,9
OH,48,46,Pulse Opinion Research/Let Freedom Ring (R),10
OH,48,45,Grove Insight (D-Project New America/USAction),10
OH,48,45,SurveyUSA,10
OH,48,50,Rasmussen,11
OH,51,47,PPP (D),11
OH,50,45,Quinnipiac/NYT/CBS,11
OH,50,49,Gravis Marketing,12
OH,49,47,ARG,14
OH,50,46,CNN,14
OH,46,44,Purple Strategies,14
OH,49,44,Mellman (D-Americans United for Change),14
OH,48,48,Rasmussen,16
OH,49,44,Time,16
OH,46,44,Lake Research (D-USAction),16
OH,49,49,Ohio Newspaper Organization/University of Cincinnati,16
OH,47,44,SurveyUSA,17
OH,47,47,Suffolk,18
OH,48,48,Angus-Reid,19
OH,49,48,PPP (D),19
OH,50,45,Quinnipiac/CBS,19
OH,47,47,Gravis Marketing,20
OH,46,43,FOX,21
OH,49,48,Rasmussen,22
OH,46,47,Pulse Opinion Research/Let Freedom Ring (R),24
OH,45,42,SurveyUSA,24
OH,51,46,PPP (D),26
OH,50,46,YouGov,28
OH,48,47,Rasmussen,29
OH,45,46,Gravis Marketing,29
OH,51,45,NBC/WSJ/Marist,30
OH,47,46,Pulse Opinion Research/Let Freedom Ring (R),31
OH,47,48,ARG,31
OH,51,47,CNN,31
OH,45,44,SurveyUSA,31
OH,47,48,Wenzel Strategies (R-Citizens United),34
OH,50,49,Rasmussen,35
OH,46,47,We Ask America,35
OH,50,43,Pulse Opinion Research/Let Freedom Ring (R),38
OH,51,43,NBC/WSJ/Marist,38
OH,49,45,PPP (D),39
OH,51,42,Columbus Dispatch,40
OH,53,43,Quinnipiac/NYT/CBS,45
OH,52,44,Washington Post,46
OH,45,44,Gravis Marketing,47
OH,48,44,Purple Strategies,50
OH,49,42,FOX,51
OH,50,44,PPP (D)/NRDC,51
OH,51,46,Ohio Newspaper Organization/University of Cincinnati,51
OH,47,44,Caddell/McLaughlin (R)/Secure America Now,54
OH,47,44,YouGov,55
OH,47,46,Rasmussen,57
OH,48,47,ARG,57
OH,50,43,NBC/WSJ/Marist,58
OH,50,45,PPP (D),60
OH,47,43,Gravis Marketing,61
OH,44,47,Gravis Marketing,67
OH,45,44,Gravis Marketing,73
OH,45,45,Columbus Dispatch,75
OH,50,44,Quinnipiac/NYT/CBS,79
OH,49,46,The Ohio Poll/University of Cincinnati,79
OH,44,46,Purple Strategies,86
OH,45,45,Rasmussen,87
OH,48,45,PPP (D),88
OH,50,44,Quinnipiac/NYT/CBS,101
OH,48,40,We Ask America,107
OH,45,43,Magellan (R-Opportunity Ohio),107
OH,47,45,Rasmussen,113
OH,48,45,Purple Strategies,118
OH,48,41,Garin-Hart-Yang (D-Priorities USA),128
OH,47,38,Quinnipiac,136
OH,47,44,PPP (D),137
OH,45,48,Purple Strategies,156
OH,44,46,Rasmussen,163
OH,48,42,NBC/Marist,172
OH,45,44,Quinnipiac,185
OH,50,43,PPP (D),186
OH,44,42,Quinnipiac,191
OH,49,44,Purple Strategies,199
OH,46,42,Rasmussen,204
OH,45,39,FOX,205
OH,48,40,Rasmussen,227
OH,47,41,Quinnipiac,227
OH,50,38,NBC/Marist,251
OH,38,44,FOX,269
OH,46,44,Quinnipiac,270
OH,45,41,Rasmussen,274
OH,49,42,PPP (D),284
OH,44,42,Quinnipiac,297
OH,42,43,Quinnipiac,339
OH,45,42,Quinnipiac,367
OH,50,41,PPP (D),368
OH,45,41,Quinnipiac,382
OH,46,46,PPP (D),389
OK,33,58,SoonerPoll.com,15
OK,29,58,SoonerPoll.com,86
OK,27,62,SoonerPoll.com,182
OR,52,46,PPP (D),7
OR,47,41,Elway/Oregonian,11
OR,47,42,Hoffman Research (R),14
OR,49,42,SurveyUSA,21
OR,50,41,SurveyUSA,56
OR,50,42,PPP (D),137
OR,47,43,SurveyUSA,182
OR,50,39,SurveyUSA,234
OR,53,40,DailyKos.com/PPP (D),330
OR,48,40,SurveyUSA,353
PA,49,46,Gravis Marketing,4
PA,51,47,Angus-Reid,4
PA,52,46,PPP (D),5
PA,49,46,Muhlenberg,5
PA,52,44,YouGov,5
PA,47,47,Susquehanna (R)/Pittsburgh Tribune-Review,8
PA,49,46,Pulse Opinion Research/Let Freedom Ring (R),9
PA,49,45,Franklin and Marshall College,11
PA,49,43,Philadelphia Inquirer/National Research (R)/GSG (D),14
PA,51,46,Rasmussen,15
PA,48,45,Gravis Marketing,18
PA,50,45,Muhlenberg,18
PA,52,42,Angus-Reid,19
PA,48,44,Pulse Opinion Research/Let Freedom Ring (R),24
PA,51,44,PPP (D),25
PA,50,46,Quinnipiac,25
PA,49,45,Muhlenberg,25
PA,45,49,Susquehanna (R - Republican State Committee of Pennsylvania),26
PA,51,44,YouGov,28
PA,51,46,Rasmussen,30
PA,47,45,Pulse Opinion Research/Let Freedom Ring (R),31
PA,50,42,Philadelphia Inquirer/National Research (R)/GSG (D),31
PA,47,45,Susquehanna (R),33
PA,43,40,Siena,34
PA,49,42,Muhlenberg,43
PA,54,42,Quinnipiac/NYT/CBS,45
PA,52,43,Franklin and Marshall College,46
PA,47,45,Susquehanna (R)/Tribune-Review,49
PA,48,40,Mercyhurst University,49
PA,51,39,Rasmussen,50
PA,48,42,We Ask America,51
PA,52,40,PPP (D)/NRDC,51
PA,48,47,Susquehanna (R-Republican State Committee of Pennsylvania),52
PA,50,41,Muhlenberg,53
PA,52,43,YouGov,55
PA,50,39,Philadelphia Inquirer/National Research (R)/GSG (D),57
PA,51,42,Philadelphia Inquirer,77
PA,49,40,Muhlenberg,78
PA,47,42,Franklin and Marshall College,88
PA,53,42,Quinnipiac/NYT/CBS,101
PA,49,43,PPP (D),108
PA,46,43,Susquehanna (R),108
PA,48,44,Rasmussen,113
PA,47,40,We Ask America,121
PA,49,40,Garin-Hart-Yang (D-Priorities USA),128
PA,45,39,Quinnipiac,136
PA,46,40,Quinnipiac,151
PA,48,36,Franklin and Marshall College,157
PA,47,41,Rasmussen,171
PA,50,42,PPP (D),172
PA,47,39,Quinnipiac,191
PA,45,40,Muhlenberg,221
PA,45,42,Quinnipiac,227
PA,46,40,Quinnipiac,241
PA,49,42,PPP (D),242
PA,45,44,Rasmussen,259
PA,48,37,Muhlenberg,261
PA,41,33,Franklin and Marshall College,262
PA,43,45,Susquehanna (R),276
PA,41,30,Franklin and Marshall College,291
PA,45,41,Muhlenberg,337
PA,46,43,Quinnipiac,339
PA,45,45,PPP (D),354
PA,44,44,SurveyUSA,364
PA,44,43,Quinnipiac,367
PA,35,26,Franklin and Marshall College,375
PA,44,44,PPP (D),492
PA,43,42,PPP (D),578
PA,46,42,PPP (D),673
RI,54,33,Fleming and Associates/WPRI,12
RI,58,32,Brown University,34
RI,57,33,Fleming and Associates/WPRI,40
RI,54,37,PPP (D),625
SC,40,46,Ipsos/Reuters (Internet),300
SC,45,42,Marist College,338
SC,40,46,Marist College,392
SD,41,53,Nielson Brothers,4
SD,42,50,Nielson Brothers,8
SD,41,52,Nielson Brothers,34
SD,39,54,Nielson Brothers,63
SD,43,49,Nielson Brothers,108
SD,35,44,Nielson Brothers,265
TN,42,53,YouGov,5
TN,34,59,MTSU,18
TN,43,52,YouGov,28
TN,42,50,YouGov,55
TN,40,47,Vanderbit / PSRA,183
TN,41,47,MTSU,257
TN,39,42,Vanderbit / PSRA,260
TN,29,44,MTSU,391
TX,38,57,YouGov,5
TX,39,55,U of Texas/Texas Tribune,18
TX,41,55,YouGov,28
TX,39,58,Texas Lyceum,43
TX,41,53,YouGov,55
TX,40,55,Wilson Perkins Allen Opinion Research (R),58
TX,35,55,U of Texas/Texas Tribune,179
TX,43,50,PPP (D),200
TX,36,49,U of Texas/Texas Tribune,267
TX,42,49,PPP (D),298
TX,34,36,U of Texas/Texas Tribune,379
UT,26,69,Dan Jones & Associates,7
UT,25,70,Mason-Dixon/The Salt Lake Tribune,8
UT,20,71,Key/BYU,26
UT,26,68,Dan Jones & Associates,140
UT,31,63,PPP (D),487
VT,62,25,Castleton State College,79
VT,58,33,Castleton State College,260
VA,48,46,Ipsos/Reuters (Web),3
VA,48,50,Rasmussen,4
VA,51,47,PPP (D),4
VA,52,44,JZ Analytics/Newsmax,4
VA,48,46,YouGov,5
VA,48,47,NBC/WSJ/Marist,6
VA,48,45,Ipsos/Reuters (Web),6
VA,48,45,Mellman (D-Americans United for Change),6
VA,49,48,We Ask America,7
VA,49,46,PPP (D-Health Care for America Now),8
VA,49,48,Pulse Opinion Research/Let Freedom Ring (R),9
VA,47,48,JZ Analytics/Newsmax,9
VA,49,47,Quinnipiac/NYT/CBS,11
VA,49,46,Garin-Hart-Yang (D-Priorities USA Action),12
VA,48,48,Gravis Marketing,13
VA,44,50,Roanoke College,13
VA,51,47,Washington Post,13
VA,48,48,JZ Analytics/Newsmax,14
VA,47,47,Purple Strategies,14
VA,48,50,Rasmussen,15
VA,51,46,PPP (D-Health Care for America Now),15
VA,44,46,FOX,15
VA,46,45,Mellman (D-Americans United for Change),18
VA,47,49,Wenzel Strategies (R-Citizens United),19
VA,49,47,PPP (D-Health Care for America Now),20
VA,47,50,Rasmussen,21
VA,50,43,ODU/Virginian-Pilot,22
VA,49,48,PPP (D-LCV),23
VA,47,46,Pulse Opinion Research/Let Freedom Ring (R),24
VA,47,48,ARG,25
VA,47,49,Rasmussen,28
VA,46,45,YouGov,28
VA,44,51,McLaughlin (R-Allen),30
VA,47,48,NBC/WSJ/Marist,30
VA,51,46,Quinnipiac/NYT/CBS,30
VA,48,48,Pulse Opinion Research/Let Freedom Ring (R),31
VA,50,47,PPP (D),32
VA,48,49,Rasmussen,35
VA,45,48,We Ask America,35
VA,48,47,Pulse Opinion Research/Let Freedom Ring (R),38
VA,48,46,NBC/WSJ/Marist,38
VA,47,39,Roanoke College,41
VA,49,47,ARG,42
VA,46,44,Suffolk/NBC12,43
VA,49,43,PPP (D)/NRDC,50
VA,46,43,Purple Strategies,50
VA,49,42,FOX,51
VA,49,46,We Ask America,52
VA,50,46,Quinnipiac/NYT/CBS,52
VA,51,46,PPP (D),53
VA,52,44,Washington Post,53
VA,48,44,YouGov,55
VA,49,48,Rasmussen,56
VA,49,44,NBC/WSJ/Marist,58
VA,44,49,Gravis Marketing,60
VA,47,47,Rasmussen,77
VA,50,45,PPP (D),81
VA,45,48,Purple Strategies,86
VA,48,46,Rasmussen,93
VA,49,45,Quinnipiac/NYT/CBS,94
VA,47,46,Rasmussen,114
VA,44,44,Quinnipiac,115
VA,46,44,Purple Strategies,118
VA,50,42,PPP (D),123
VA,46,43,Garin-Hart-Yang (D-Priorities USA),128
VA,43,48,We Ask America,136
VA,49,42,ODU/Virginian-Pilot,146
VA,49,46,Purple Strategies,156
VA,47,42,Quinnipiac,157
VA,47,47,Rasmussen,158
VA,48,44,NBC/Marist,172
VA,51,44,Washington Post,190
VA,51,43,PPP (D),193
VA,44,45,Rasmussen,199
VA,48,46,Purple Strategies,199
VA,40,46,Roanoke College,217
VA,51,42,Rasmussen,233
VA,50,42,Quinnipiac,235
VA,52,35,NBC/Marist,251
VA,42,43,Roanoke College,256
VA,49,43,Rasmussen,261
VA,43,46,Christopher Newport /Times Dispatch,269
VA,47,43,Quinnipiac,276
VA,45,44,Mason-Dixon,295
VA,42,44,Quinnipiac,325
VA,48,42,PPP (D),331
VA,47,42,Quinnipiac,396
VA,42,46,Christopher Newport /Times Dispatch,397
VA,51,40,PPP (D),550
VA,50,44,Washington Post,554
VA,48,42,PPP (D),620
VA,48,43,PPP (D),726
WA,53,46,PPP (D),5
WA,54,40,YouGov,5
WA,54,40,SurveyUSA,8
WA,57,36,University of Washington/KCTS9,8
WA,52,39,Strategies 360 (D),19
WA,50,45,PPP (D-Washington Conservation Voters),23
WA,52,43,University of Washington/KCTS9,23
WA,55,42,Rasmussen,25
WA,54,40,SurveyUSA,25
WA,56,39,YouGov,28
WA,56,36,SurveyUSA,39
WA,52,41,Rasmussen,43
WA,56,39,Gravis Marketing,47
WA,53,39,YouGov,55
WA,53,36,Elway,57
WA,54,38,SurveyUSA,60
WA,46,36,Moore Information (R),93
WA,54,37,SurveyUSA,98
WA,46,37,SurveyUSA,113
WA,54,41,PPP (D),144
WA,49,41,Elway,145
WA,50,36,SurveyUSA,183
WA,53,38,PPP (D),263
WA,50,39,SurveyUSA,267
WA,49,38,Elway,273
WA,50,39,SurveyUSA,297
WA,49,41,SurveyUSA,351
WA,50,41,University of Washington,375
WV,38,52,R.L. Repass & Partners,75
WV,37,54,R.L. Repass & Partners,194
WV,33,54,PPP (D),403
WV,37,49,PPP (D),431
WV,37,50,PPP (D),655
WI,51,48,PPP (D),5
WI,53,46,Angus-Reid,5
WI,50,46,YouGov,5
WI,48,42,Grove Insight (D-Project New America/USAction),6
WI,52,45,We Ask America,7
WI,49,47,Wenzel Strategies (R-Citizens United),8
WI,49,48,Pulse Opinion Research/Let Freedom Ring (R),9
WI,51,46,PPP (D-Health Care for America Now),9
WI,49,49,Rasmussen,10
WI,49,46,NBC/WSJ/Marist,10
WI,52,43,St Norbert,10
WI,51,43,Marquette Law School,11
WI,49,49,Rasmussen,14
WI,48,43,Grove Insight (D-Project New America),14
WI,51,45,PPP (D-Health Care for America Now),15
WI,51,46,Angus-Reid,19
WI,50,48,Rasmussen,21
WI,47,44,Grove Insight (D-Project New America),21
WI,51,45,NBC/WSJ/Marist,22
WI,48,46,Mason-Dixon,22
WI,50,47,Pulse Opinion Research/Let Freedom Ring (R),24
WI,49,48,Marquette Law School,25
WI,51,47,YouGov,28
WI,51,49,Rasmussen,30
WI,50,47,Quinnipiac/NYT/CBS,30
WI,50,46,Pulse Opinion Research/Let Freedom Ring (R),31
WI,49,47,PPP (D),33
WI,51,44,Pulse Opinion Research/Let Freedom Ring (R),38
WI,49,39,JZ Analytics,39
WI,53,42,Marquette Law School,39
WI,53,41,We Ask America,46
WI,52,45,PPP (D),50
WI,50,45,NBC/WSJ/Marist,51
WI,49,46,Rasmussen,52
WI,51,45,Quinnipiac/NYT/CBS,52
WI,54,40,Marquette Law School,53
WI,48,47,YouGov,55
WI,49,48,PPP (D-Democracy for America),56
WI,49,47,Quinnipiac/NYT/CBS,79
WI,49,46,Marquette Law School,81
WI,47,48,PPP (D),81
WI,47,48,Rasmussen,85
WI,49,45,CNN,86
WI,51,45,Quinnipiac/NYT/CBS,94
WI,50,45,Marquette Law School,95
WI,49,46,Rasmussen,106
WI,49,42,We Ask America,113
WI,51,43,Marquette Law School,123
WI,50,44,PPP (D),123
WI,49,43,Marquette Law School,145
WI,44,47,Rasmussen,149
WI,48,43,We Ask America,158
WI,51,43,Marquette Law School,166
WI,49,43,St Norbert,170
WI,46,36,Reason/Rupe,172
WI,47,46,DailyKos/PPP (D),179
WI,46,46,Marquette Law School,180
WI,49,45,Rasmussen,183
WI,51,42,Marquette Law School,193
WI,50,44,DailyKos/PPP (D),207
WI,52,41,Rasmussen,226
WI,52,35,NBC/Marist,226
WI,48,43,Marquette Law School,228
WI,47,42,Rasmussen,255
WI,53,39,PPP (D),256
WI,53,38,Marquette Law School,263
WI,48,40,Marquette Law School,291
WI,45,41,Rasmussen,379
WI,46,35,WPRI,379
WI,46,43,PPP (D),382
WI,51,39,PPP (D),536
