state.name,date,pollster,grade,samplesize,population,clinton,trump,state,days_until,
Utah,10/30/16,SurveyMonkey,C-,1247,lv,30,33,UT,9,
California,10/24/16,SurveyMonkey,C-,2431,lv,54,31,CA,15,
Arizona,9/21/16,Data Orbital,,550,lv,38,40,AZ,48,
North Carolina,9/19/16,Public Policy Polling,B+,1024,lv,43,45,NC,50,
Colorado,10/6/16,Ipsos,A-,561,lv,46.61,40.89,CO,33,
District of Columbia,10/21/16,SurveyMonkey,C-,504,lv,88,5,DC,18,
South Dakota,9/26/16,Ipsos,A-,113,lv,35.73,45.45,SD,43,
Georgia,8/2/16,Time/Abt SRBI,A-,847,rv,41,38,GA,98,
Louisiana,10/30/16,SurveyMonkey,C-,546,lv,37,51,LA,9,
Colorado,7/10/16,Fox News/Anderson Robbins Research/Shaw & Company Research,A,600,rv,37,28,CO,121,
Washington,10/6/16,Ipsos,A-,602,lv,46.94,37.24,WA,33,
Arizona,7/29/16,Integrated Web Strategy,,679,lv,41.3,48.8,AZ,102,
Texas,10/24/16,SurveyMonkey,C-,2377,lv,40,47,TX,15,
South Dakota,10/27/16,SurveyMonkey,C-,266,lv,29,55,SD,12,
California,11/1/16,SurveyMonkey,C-,2691,lv,56,30,CA,7,
Minnesota,10/30/16,SurveyMonkey,C-,928,lv,47,37,MN,9,
Washington,10/31/16,SurveyMonkey,C-,944,lv,53,34,WA,8,
Iowa,7/7/16,Gravis Marketing,B-,1318,a,39,37,IA,124,
Pennsylvania,9/2/16,Quinnipiac University,A-,778,lv,44,39,PA,67,
Florida,7/8/16,Greenberg Quinlan Rosner (Democracy Corps),B-,1100,lv,45,40,FL,123,
Georgia,7/30/16,SurveyUSA,A,628,lv,42,46,GA,101,
Maryland,10/30/16,SurveyMonkey,C-,772,lv,63,26,MD,9,
Maine,10/29/16,SurveyMonkey,C-,428,lv,49,37,ME,10,
Kentucky,7/31/16,Harper Polling,B-,500,rv,36,49,KY,100,
Oregon,10/31/16,SurveyMonkey,C-,1150,lv,51,36,OR,8,
Virginia,10/31/16,SurveyMonkey,C-,2073,lv,48,40,VA,8,
Nevada,10/12/16,Google Consumer Surveys,B,253,lv,33.6,35.34,NV,27,
Indiana,10/6/16,Ipsos,A-,434,lv,38.27,47.14,IN,33,
Kansas,10/3/16,Ipsos,A-,382,lv,37.9,50.27,KS,36,
Illinois,10/10/16,Ipsos,A-,409,lv,60.31,27.44,IL,29,
Delaware,10/3/16,Ipsos,A-,135,lv,46.96,39.29,DE,36,
Arkansas,10/12/16,Google Consumer Surveys,B,189,lv,34.43,38.13,AR,27,
Ohio,10/24/16,SurveyMonkey,C-,1980,lv,40,45,OH,15,
Nevada,10/3/16,Ipsos,A-,347,lv,40.77,38.73,NV,36,
Missouri,9/26/16,Remington,,1279,lv,39,49,MO,43,
Florida,8/16/16,Saint Leo University,C+,1380,lv,51.7,37.7,FL,84,
Oregon,10/24/16,SurveyMonkey,C-,658,lv,50,35,OR,15,
South Carolina,10/30/16,SurveyMonkey,C-,1501,lv,43,47,SC,9,
Nebraska,10/12/16,Google Consumer Surveys,B,217,lv,27.82,40.76,NE,27,
Pennsylvania,11/1/16,SurveyMonkey,C-,2691,lv,46,43,PA,7,
Vermont,7/17/16,Castleton University,B+,637,lv,39,17,VT,114,
Virginia,8/3/16,YouGov,B,1181,lv,49,37,VA,97,
Nevada,10/28/16,SurveyMonkey,C-,1010,lv,43,42,NV,11,
Arizona,11/1/16,SurveyMonkey,C-,2154,lv,44,43,AZ,7,
Virginia,7/26/16,RABA Research,C+,655,rv,42,46,VA,105,
Idaho,10/3/16,Ipsos,A-,199,lv,31.26,54.18,ID,36,
Washington,10/17/16,Google Consumer Surveys,B,594,lv,45.72,25.4,WA,22,
Arizona,8/3/16,YouGov,B,1095,lv,42,44,AZ,97,
District of Columbia,10/6/16,Google Consumer Surveys,B,61,lv,57.9,15.1,DC,33,
Iowa,7/9/16,Monmouth University,A+,401,lv,42,44,IA,122,
Colorado,10/24/16,SurveyMonkey,C-,1731,lv,45,38,CO,15,
South Carolina,10/3/16,Ipsos,A-,346,lv,45.97,48.85,SC,36,
New Hampshire,10/6/16,Google Consumer Surveys,B,76,lv,56.62,17.43,NH,33,
Maryland,10/22/16,SurveyMonkey,C-,1046,lv,62,27,MD,17,
Alabama,10/30/16,SurveyMonkey,C-,621,lv,35,53,AL,9,
Michigan,10/25/16,Mitchell Research & Communications,D,1030,lv,48,42,MI,14,
Colorado,11/1/16,SurveyMonkey,C-,2302,lv,43,40,CO,7,
Maine,10/28/16,SurveyMonkey,C-,432,lv,49,37,ME,11,
New York,10/31/16,SurveyMonkey,C-,1949,lv,57,32,NY,8,
Mississippi,10/3/16,Ipsos,A-,196,lv,41.16,48.59,MS,36,
Arkansas,10/3/16,Ipsos,A-,314,lv,35.6,52.44,AR,36,
Massachusetts,10/30/16,SurveyMonkey,C-,878,lv,57,29,MA,9,
Wyoming,8/20/16,SurveyMonkey,C-,727,rv,21,57,WY,80,
New York,10/10/16,Ipsos,A-,434,lv,52.61,26.67,NY,29,
Wisconsin,10/6/16,Ipsos,A-,622,lv,41.56,37.39,WI,33,
Virginia,10/17/16,Google Consumer Surveys,B,644,lv,40.71,31.13,VA,22,
California,10/22/16,Google Consumer Surveys,B,1208,lv,47.86,23.83,CA,17,
Maine,10/3/16,Ipsos,A-,244,lv,48.2,34.82,ME,36,
Utah,9/5/16,Dan Jones & Associates,C+,605,lv,24,39,UT,64,
Minnesota,10/6/16,Ipsos,A-,611,lv,42.74,35.8,MN,33,
Kentucky,10/24/16,SurveyMonkey,C-,384,lv,30,61,KY,15,
Colorado,7/8/16,Marist College,A,794,rv,39,33,CO,123,
Texas,11/1/16,SurveyMonkey,C-,2645,lv,42,47,TX,7,
Delaware,10/6/16,Google Consumer Surveys,B,103,lv,40.37,28.34,DE,33,
Ohio,11/1/16,SurveyMonkey,C-,2393,lv,42,46,OH,7,
Illinois,7/11/16,Basswood Research,C+,NA,lv,46.4,32.5,IL,120,
Arizona,10/17/16,Google Consumer Surveys,B,629,lv,41.78,31.4,AZ,22,
Nebraska,10/3/16,Ipsos,A-,241,lv,33.32,48.55,NE,36,
Pennsylvania,7/26/16,Suffolk University,B+,500,lv,46,37,PA,105,
South Carolina,10/29/16,SurveyMonkey,C-,1588,lv,44,45,SC,10,
Oklahoma,10/30/16,SurveyMonkey,C-,737,lv,32,56,OK,9,
Oklahoma,10/3/16,Ipsos,A-,432,lv,36,51.26,OK,36,
Florida,10/22/16,Google Consumer Surveys,B,911,lv,36.07,39.16,FL,17,
Colorado,10/17/16,Google Consumer Surveys,B,600,lv,44.08,25.6,CO,22,
Rhode Island,10/6/16,Google Consumer Surveys,B,51,lv,52.2,25.04,RI,33,
Nevada,8/3/16,YouGov,B,993,lv,43,41,NV,97,
Georgia,10/30/16,SurveyMonkey,C-,2722,lv,45,45,GA,9,
Hawaii,10/6/16,Google Consumer Surveys,B,67,lv,49.42,29.17,HI,33,
Mississippi,10/12/16,Google Consumer Surveys,B,212,lv,22.04,53.32,MS,27,
Tennessee,10/30/16,SurveyMonkey,C-,905,lv,41,50,TN,9,
Illinois,10/31/16,SurveyMonkey,C-,1120,lv,52,37,IL,8,
New Jersey,10/30/16,SurveyMonkey,C-,823,lv,54,38,NJ,9,
Indiana,7/20/16,Tarrance Group,B,503,rv,36,50,IN,111,
Kansas,10/27/16,SurveyMonkey,C-,1176,lv,36,47,KS,12,
Arkansas,10/22/16,SurveyMonkey,C-,570,lv,34,53,AR,17,
Missouri,10/30/16,SurveyMonkey,C-,774,lv,39,48,MO,9,
New Mexico,10/3/16,Ipsos,A-,157,lv,43.87,36.38,NM,36,
Oklahoma,10/12/16,Google Consumer Surveys,B,216,lv,33.66,44.49,OK,27,
Connecticut,10/3/16,Ipsos,A-,505,lv,53,36.07,CT,36,
North Dakota,10/21/16,SurveyMonkey,C-,339,lv,31,49,ND,18,
Arkansas,10/29/16,SurveyMonkey,C-,475,lv,38,52,AR,10,
South Carolina,10/28/16,SurveyMonkey,C-,1762,lv,43,45,SC,11,
Minnesota,10/17/16,Google Consumer Surveys,B,596,lv,35.95,28.73,MN,22,
New Hampshire,10/3/16,Ipsos,A-,184,lv,46.23,41.64,NH,36,
North Carolina,11/1/16,SurveyMonkey,C-,2765,lv,48,41,NC,7,
Massachusetts,10/6/16,Ipsos,A-,598,lv,54.07,28.57,MA,33,
Ohio,8/18/16,YouGov,B,997,lv,46,40,OH,82,
Delaware,10/21/16,SurveyMonkey,C-,528,lv,52,34,DE,18,
Colorado,7/10/16,Monmouth University,A+,404,lv,48,35,CO,121,
Louisiana,10/3/16,Ipsos,A-,473,lv,35.98,49.16,LA,36,
Florida,8/19/16,Cherry Communications,C,608,lv,41,44,FL,81,
Iowa,10/3/16,Ipsos,A-,382,lv,44.74,44.49,IA,36,
New Mexico,10/12/16,Google Consumer Surveys,B,214,lv,40.3,22.32,NM,27,
Michigan,11/1/16,SurveyMonkey,C-,2748,lv,44,42,MI,7,
Indiana,10/17/16,Google Consumer Surveys,B,717,lv,35.95,33.04,IN,22,
Louisiana,10/12/16,Google Consumer Surveys,B,280,lv,25.82,49.54,LA,27,
Maine,10/22/16,SurveyMonkey,C-,410,lv,52,35,ME,17,
Indiana,10/31/16,SurveyMonkey,C-,923,lv,35,52,IN,8,
Maryland,10/29/16,SurveyMonkey,C-,695,lv,63,27,MD,10,
North Carolina,10/17/16,Google Consumer Surveys,B,648,lv,37.81,38.07,NC,22,
Connecticut,10/30/16,SurveyMonkey,C-,753,lv,52,38,CT,9,
Virginia,10/12/16,SurveyMonkey,C-,1644,lv,49,38,VA,27,
California,10/31/16,SurveyMonkey,C-,2528,lv,56,29,CA,8,
Virginia,10/30/16,SurveyMonkey,C-,1942,lv,48,40,VA,9,
Missouri,8/8/16,Public Policy Polling,B+,947,lv,42,45,MO,92,
West Virginia,10/3/16,Ipsos,A-,153,lv,40.71,53.95,WV,36,
Wisconsin,10/12/16,SurveyMonkey,C-,1076,lv,43,38,WI,27,
Wisconsin,10/31/16,SurveyMonkey,C-,1568,lv,45,43,WI,8,
Louisiana,10/29/16,SurveyMonkey,C-,470,lv,37,51,LA,10,
Iowa,10/30/16,SurveyMonkey,C-,1226,lv,37,47,IA,9,
Arkansas,10/28/16,SurveyMonkey,C-,484,lv,39,52,AR,11,
South Carolina,8/16/16,Gravis Marketing,B-,768,rv,37,41,SC,84,
Alaska,10/21/16,SurveyMonkey,C-,443,lv,31,46,AK,18,
Nevada,10/22/16,SurveyMonkey,C-,1041,lv,44,44,NV,17,
Montana,9/26/16,Ipsos,A-,149,lv,34.26,57.98,MT,43,
Maryland,10/28/16,SurveyMonkey,C-,740,lv,63,27,MD,11,
Minnesota,10/29/16,SurveyMonkey,C-,805,lv,47,37,MN,10,
Missouri,10/17/16,Google Consumer Surveys,B,587,lv,37.53,34.42,MO,22,
Utah,10/29/16,SurveyMonkey,C-,1057,lv,30,34,UT,10,
Michigan,10/17/16,Google Consumer Surveys,B,637,lv,37.41,28.49,MI,22,
Florida,10/10/16,Ipsos,A-,1019,lv,47.57,41.81,FL,29,
Pennsylvania,9/23/16,Gravis Marketing,B-,949,lv,46,43,PA,46,
Washington,10/30/16,SurveyMonkey,C-,807,lv,54,34,WA,9,
Alabama,9/29/16,Ipsos,A-,353,lv,36.51,56.76,AL,40,
Pennsylvania,8/26/16,Public Policy Polling,B+,1194,lv,48,43,PA,74,
Rhode Island,10/21/16,SurveyMonkey,C-,488,lv,49,37,RI,18,
Iowa,7/14/16,YouGov,B,998,lv,39,40,IA,117,
North Carolina,10/24/16,SurveyMonkey,C-,1797,lv,48,43,NC,15,
Maine,10/27/16,SurveyMonkey,C-,386,lv,50,38,ME,12,
South Carolina,10/22/16,SurveyMonkey,C-,2223,lv,43,45,SC,17,
New Mexico,10/11/16,Zia Poll,,1536,lv,46,36,NM,28,
Michigan,10/23/16,Mitchell Research & Communications,D,1241,lv,49,41,MI,16,
Oregon,7/11/16,Clout Research/Wenzel Strategies,C-,701,lv,43.1,39.7,OR,120,
Texas,10/10/16,Ipsos,A-,422,lv,31.57,57,TX,29,
Nebraska,10/22/16,SurveyMonkey,C-,513,lv,32,51,NE,17,
Pennsylvania,10/31/16,SurveyMonkey,C-,2454,lv,46,43,PA,8,
Massachusetts,10/29/16,SurveyMonkey,C-,797,lv,58,29,MA,10,
South Carolina,10/27/16,SurveyMonkey,C-,1764,lv,42,46,SC,12,
Nevada,10/27/16,SurveyMonkey,C-,887,lv,43,43,NV,12,
Georgia,10/29/16,SurveyMonkey,C-,2678,lv,44,45,GA,10,
Montana,10/6/16,Google Consumer Surveys,B,158,lv,32.1,40.84,MT,33,
Kentucky,10/30/16,SurveyMonkey,C-,635,lv,35,56,KY,9,
Missouri,9/29/16,Ipsos,A-,478,lv,37.05,48.7,MO,40,
Michigan,10/24/16,SurveyMonkey,C-,1787,lv,44,41,MI,15,
Florida,10/24/16,SurveyMonkey,C-,3129,lv,47,44,FL,15,
Kansas,10/12/16,Google Consumer Surveys,B,264,lv,45.87,26.74,KS,27,
Montana,10/21/16,SurveyMonkey,C-,475,lv,35,52,MT,18,
Oregon,10/30/16,SurveyMonkey,C-,934,lv,51,36,OR,9,
Nevada,7/8/16,Monmouth University,A+,408,lv,45,41,NV,123,
Georgia,10/6/16,Ipsos,A-,645,lv,41.51,50.04,GA,33,
New York,10/30/16,SurveyMonkey,C-,1755,lv,58,32,NY,9,
Colorado,7/8/16,Harper Polling,B-,500,lv,45,38,CO,123,
Nebraska,10/29/16,SurveyMonkey,C-,440,lv,33,52,NE,10,
Virginia,10/6/16,Ipsos,A-,884,lv,49.22,38.8,VA,33,
Kentucky,9/29/16,Ipsos,A-,370,lv,37.27,57.06,KY,40,
Utah,10/28/16,SurveyMonkey,C-,1078,lv,30,33,UT,11,
North Dakota,10/6/16,Google Consumer Surveys,B,58,lv,13.34,63.29,ND,33,
Illinois,10/3/16,Ipsos,A-,601,lv,57.49,31.29,IL,36,
New York,10/3/16,Ipsos,A-,714,lv,54.76,31.07,NY,36,
Florida,11/1/16,SurveyMonkey,C-,3600,lv,47,45,FL,7,
Virginia,10/29/16,SurveyMonkey,C-,1929,lv,49,39,VA,10,
Illinois,10/30/16,SurveyMonkey,C-,997,lv,53,36,IL,9,
New Jersey,10/29/16,SurveyMonkey,C-,719,lv,55,36,NJ,10,
Alabama,10/29/16,SurveyMonkey,C-,503,lv,37,52,AL,10,
Texas,10/31/16,SurveyMonkey,C-,2322,lv,42,47,TX,8,
Hawaii,10/21/16,SurveyMonkey,C-,459,lv,49,34,HI,18,
New York,8/6/16,Gravis Marketing,B-,1717,rv,48,34,NY,94,
Minnesota,10/28/16,SurveyMonkey,C-,773,lv,46,37,MN,11,
California,10/10/16,Ipsos,A-,553,lv,65.89,22.37,CA,29,
Massachusetts,10/28/16,SurveyMonkey,C-,796,lv,58,29,MA,11,
Arkansas,10/27/16,SurveyMonkey,C-,446,lv,37,53,AR,12,
Colorado,10/31/16,SurveyMonkey,C-,1927,lv,44,40,CO,8,
Arizona,10/31/16,SurveyMonkey,C-,1748,lv,44,43,AZ,8,
Missouri,10/22/16,SurveyMonkey,C-,797,lv,37,49,MO,17,
Wisconsin,10/17/16,Google Consumer Surveys,B,725,lv,38.22,28.86,WI,22,
Alaska,10/6/16,Google Consumer Surveys,B,60,lv,29.97,27.17,AK,33,
Louisiana,10/22/16,SurveyMonkey,C-,435,lv,38,53,LA,17,
Maryland,10/27/16,SurveyMonkey,C-,696,lv,63,27,MD,12,
Virginia,10/28/16,SurveyMonkey,C-,2089,lv,48,38,VA,11,
New Jersey,10/6/16,Ipsos,A-,953,lv,49.93,32.23,NJ,33,
New Hampshire,7/20/16,Praecones Analytica,,1166,rv,38.5,47.9,NH,111,
Louisiana,10/28/16,SurveyMonkey,C-,423,lv,38,51,LA,11,
Missouri,10/29/16,SurveyMonkey,C-,649,lv,39,47,MO,10,
Tennessee,10/12/16,Google Consumer Surveys,B,406,lv,31.08,43,TN,27,
Ohio,10/31/16,SurveyMonkey,C-,2004,lv,41,46,OH,8,
Maryland,9/29/16,Ipsos,A-,508,lv,53.07,31.74,MD,40,
Georgia,7/3/16,Lake Research Partners,B+,600,lv,41,40,GA,128,
South Carolina,10/12/16,Google Consumer Surveys,B,344,lv,29.99,44.27,SC,27,
Vermont,10/21/16,SurveyMonkey,C-,446,lv,54,23,VT,18,
Florida,8/2/16,Suffolk University,B+,500,lv,43.2,38.8,FL,98,
Arizona,9/29/16,Ipsos,A-,617,lv,42.22,49.06,AZ,40,
Maine CD-2,8/18/16,Maine People's Resource Center,C,399,lv,37.8,33.6,ME,82,
California,10/30/16,SurveyMonkey,C-,2316,lv,56,29,CA,9,
Indiana,10/30/16,SurveyMonkey,C-,790,lv,36,51,IN,9,
South Dakota,10/21/16,SurveyMonkey,C-,377,lv,32,52,SD,18,
New Jersey,10/17/16,Google Consumer Surveys,B,792,lv,41.22,32.52,NJ,22,
New Jersey,10/28/16,SurveyMonkey,C-,724,lv,55,35,NJ,11,
Georgia,10/28/16,SurveyMonkey,C-,2665,lv,44,46,GA,11,
Illinois,10/22/16,SurveyMonkey,C-,1274,lv,52,34,IL,17,
Alaska,8/20/16,SurveyMonkey,C-,989,rv,31,38,AK,80,
Virginia,10/22/16,SurveyMonkey,C-,2739,lv,48,39,VA,17,
Michigan,10/31/16,SurveyMonkey,C-,2362,lv,44,43,MI,8,
West Virginia,10/21/16,SurveyMonkey,C-,379,lv,29,61,WV,18,
Rhode Island,9/30/16,Google Consumer Surveys,B,57,lv,44.76,28.48,RI,39,
Missouri,10/28/16,SurveyMonkey,C-,671,lv,39,46,MO,11,
Iowa,10/22/16,SurveyMonkey,C-,1337,lv,41,44,IA,17,
Nebraska,10/28/16,SurveyMonkey,C-,412,lv,32,52,NE,11,
Idaho,10/6/16,Google Consumer Surveys,B,150,lv,24.82,32.89,ID,33,
Delaware,9/26/16,Ipsos,A-,131,lv,46.26,35.62,DE,43,
Kentucky,10/12/16,Google Consumer Surveys,B,328,lv,29.49,41.89,KY,27,
Connecticut,9/19/16,Ipsos,A-,455,lv,52.01,34.09,CT,50,
Tennessee,10/29/16,SurveyMonkey,C-,702,lv,40,51,TN,10,
Oregon,9/29/16,Ipsos,A-,483,lv,51.33,36,OR,40,
Maine,9/26/16,Ipsos,A-,266,lv,45.94,33.06,ME,43,
North Carolina,10/31/16,SurveyMonkey,C-,2292,lv,48,42,NC,8,
South Dakota,9/19/16,Ipsos,A-,105,lv,31.67,46.8,SD,50,
District of Columbia,9/30/16,Google Consumer Surveys,B,64,lv,62.21,9.8,DC,39,
Nebraska,10/6/16,Google Consumer Surveys,B,233,lv,26.88,39.06,NE,33,
Maine CD-1,8/18/16,Maine People's Resource Center,C,442,lv,45.2,30.9,ME,82,
Alabama,10/28/16,SurveyMonkey,C-,485,lv,35,55,AL,11,
Ohio,10/17/16,Google Consumer Surveys,B,865,lv,33.83,38.97,OH,22,
Massachusetts,10/22/16,SurveyMonkey,C-,787,lv,60,29,MA,17,
Connecticut,10/29/16,SurveyMonkey,C-,616,lv,51,38,CT,10,
Utah,10/22/16,SurveyMonkey,C-,1069,lv,29,32,UT,17,
Iowa,10/12/16,Google Consumer Surveys,B,359,lv,32.59,35.59,IA,27,
Washington,10/29/16,SurveyMonkey,C-,698,lv,54,34,WA,10,
Montana,8/20/16,SurveyMonkey,C-,999,rv,31,44,MT,80,
Washington,9/22/16,Ipsos,A-,496,lv,48.94,35.28,WA,47,
Tennessee,9/29/16,Ipsos,A-,557,lv,33.86,48.57,TN,40,
North Dakota,8/20/16,SurveyMonkey,C-,549,rv,26,51,ND,80,
New York,10/29/16,SurveyMonkey,C-,1645,lv,57,33,NY,10,
Alabama,10/22/16,SurveyMonkey,C-,486,lv,36,52,AL,17,
Missouri,7/23/16,"Mason-Dixon Polling & Research, Inc.",B+,625,lv,41,40,MO,108,
Idaho,9/26/16,Ipsos,A-,197,lv,31.01,55.22,ID,43,
Texas,10/17/16,Google Consumer Surveys,B,1163,lv,33.31,40.79,TX,22,
Mississippi,9/26/16,Ipsos,A-,198,lv,39.96,51.09,MS,43,
Washington,10/28/16,SurveyMonkey,C-,745,lv,53,34,WA,11,
Utah,10/27/16,SurveyMonkey,C-,988,lv,30,33,UT,12,
Ohio,10/12/16,SurveyMonkey,C-,1307,lv,41,44,OH,27,
Pennsylvania,10/30/16,SurveyMonkey,C-,2177,lv,47,42,PA,9,
Wisconsin,10/30/16,SurveyMonkey,C-,1271,lv,44,42,WI,9,
Arizona,10/12/16,SurveyMonkey,C-,1028,lv,41,44,AZ,27,
Illinois,10/29/16,SurveyMonkey,C-,911,lv,52,35,IL,10,
Alabama,10/12/16,Google Consumer Surveys,B,373,lv,19.61,54.78,AL,27,
West Virginia,10/6/16,Google Consumer Surveys,B,78,lv,27.41,50.21,WV,33,
Connecticut,10/12/16,Google Consumer Surveys,B,262,lv,48.96,27.69,CT,27,
Illinois,10/28/16,SurveyMonkey,C-,1003,lv,52,35,IL,11,
Kansas,9/26/16,Ipsos,A-,374,lv,34.85,55.3,KS,43,
Oklahoma,10/29/16,SurveyMonkey,C-,519,lv,32,55,OK,10,
South Dakota,10/6/16,Google Consumer Surveys,B,65,lv,32.71,36.87,SD,33,
Oregon,10/29/16,SurveyMonkey,C-,809,lv,51,36,OR,10,
Oklahoma,10/22/16,SurveyMonkey,C-,573,lv,31,55,OK,17,
Georgia,8/6/16,JMC Enterprises,C,615,lv,44,37,GA,94,
Arkansas,10/6/16,Google Consumer Surveys,B,180,lv,34.69,40.24,AR,33,
New Jersey,10/22/16,SurveyMonkey,C-,703,lv,53,35,NJ,17,
Nevada,9/26/16,Ipsos,A-,342,lv,46.23,42.29,NV,43,
Vermont,10/6/16,Google Consumer Surveys,B,47,lv,57.02,16.11,VT,33,
West Virginia,9/26/16,Ipsos,A-,165,lv,36.37,55.31,WV,43,
Florida,10/31/16,SurveyMonkey,C-,3356,lv,47,45,FL,8,
Washington,10/22/16,SurveyMonkey,C-,782,lv,51,34,WA,17,
South Dakota,8/20/16,SurveyMonkey,C-,809,rv,29,43,SD,80,
Virginia,10/27/16,SurveyMonkey,C-,2005,lv,48,39,VA,12,
Vermont,6/27/16,"Fairbank, Maslin, Maullin, Metz & Associates",B-,600,rv,39,24,VT,134,
New Hampshire,10/21/16,SurveyMonkey,C-,779,lv,49,37,NH,18,
New York,10/28/16,SurveyMonkey,C-,1734,lv,56,33,NY,11,
Indiana,9/29/16,Ipsos,A-,430,lv,37.21,50.31,IN,40,
California,10/3/16,Ipsos,A-,974,lv,61.26,27.86,CA,36,
California,10/29/16,SurveyMonkey,C-,2284,lv,55,30,CA,10,
New Mexico,9/26/16,Ipsos,A-,159,lv,49.11,35.93,NM,43,
Illinois,10/17/16,Google Consumer Surveys,B,1105,lv,38.96,29.27,IL,22,
New Mexico,10/21/16,SurveyMonkey,C-,1095,lv,41,34,NM,18,
Minnesota,10/22/16,SurveyMonkey,C-,671,lv,47,37,MN,17,
New Hampshire,9/30/16,Google Consumer Surveys,B,74,lv,46.18,21.23,NH,39,
Arkansas,9/26/16,Ipsos,A-,309,lv,37.87,53.01,AR,43,
Texas,8/8/16,Dixie Strategies,C+,1018,lv,35.46,46.27,TX,92,
New Hampshire,9/26/16,Ipsos,A-,186,lv,49.45,39.51,NH,43,
Massachusetts,10/27/16,SurveyMonkey,C-,707,lv,58,28,MA,12,
Oklahoma,10/6/16,Google Consumer Surveys,B,226,lv,33.48,41.63,OK,33,
Massachusetts,10/12/16,Google Consumer Surveys,B,421,lv,52.83,18.93,MA,27,
Colorado,9/29/16,Ipsos,A-,552,lv,44.77,44.86,CO,40,
Connecticut,10/22/16,SurveyMonkey,C-,614,lv,51,36,CT,17,
Pennsylvania,10/12/16,SurveyMonkey,C-,1449,lv,46,40,PA,27,
New Jersey,10/27/16,SurveyMonkey,C-,674,lv,55,34,NJ,12,
Texas,10/3/16,Ipsos,A-,583,lv,33.59,50.14,TX,36,
Wisconsin,9/29/16,Ipsos,A-,687,lv,45.72,42.28,WI,40,
Texas,10/30/16,SurveyMonkey,C-,2048,lv,42,46,TX,9,
Kentucky,10/29/16,SurveyMonkey,C-,499,lv,34,57,KY,10,
California,10/28/16,SurveyMonkey,C-,2505,lv,55,30,CA,11,
New Hampshire,7/30/16,MassINC Polling Group,A-,609,lv,47,32,NH,101,
New York,10/17/16,Google Consumer Surveys,B,1165,lv,44.04,28.96,NY,22,
Iowa,10/28/16,SurveyMonkey,C-,984,lv,40,45,IA,11,
Texas,10/12/16,SurveyMonkey,C-,1332,lv,42,44,TX,27,
Massachusetts,9/29/16,Ipsos,A-,671,lv,48.99,29.85,MA,40,
Oregon,10/12/16,Google Consumer Surveys,B,358,lv,43.67,24.5,OR,27,
Minnesota,9/29/16,Ipsos,A-,645,lv,42.03,37.57,MN,40,
Florida,8/11/16,YouGov,B,1194,lv,45,40,FL,89,
Georgia,10/27/16,SurveyMonkey,C-,2517,lv,44,46,GA,12,
Nebraska,9/26/16,Ipsos,A-,221,lv,31.75,47.56,NE,43,
Minnesota,10/27/16,SurveyMonkey,C-,639,lv,47,38,MN,12,
Iowa,10/29/16,SurveyMonkey,C-,867,lv,39,45,IA,10,
Mississippi,10/21/16,SurveyMonkey,C-,704,lv,42,50,MS,18,
Maryland,10/12/16,Google Consumer Surveys,B,349,lv,47.49,24.96,MD,27,
Michigan,10/12/16,SurveyMonkey,C-,1331,lv,45,37,MI,27,
Tennessee,10/22/16,SurveyMonkey,C-,644,lv,38,50,TN,17,
Oklahoma,9/26/16,Ipsos,A-,419,lv,33.22,53.2,OK,43,
Indiana,10/22/16,SurveyMonkey,C-,784,lv,35,50,IN,17,
Colorado,10/30/16,SurveyMonkey,C-,1631,lv,44,40,CO,9,
South Carolina,9/22/16,Ipsos,A-,240,lv,44.41,49,SC,47,
Idaho,10/21/16,SurveyMonkey,C-,438,lv,29,50,ID,18,
Washington,10/27/16,SurveyMonkey,C-,699,lv,53,34,WA,12,
Arizona,10/30/16,SurveyMonkey,C-,1461,lv,43,43,AZ,9,
Connecticut,10/28/16,SurveyMonkey,C-,554,lv,51,39,CT,11,
Ohio,10/30/16,SurveyMonkey,C-,1728,lv,41,46,OH,9,
West Virginia,9/30/16,Google Consumer Surveys,B,110,lv,24.42,48.57,WV,39,
Colorado,10/12/16,SurveyMonkey,C-,956,lv,44,37,CO,27,
Illinois,10/27/16,SurveyMonkey,C-,957,lv,53,34,IL,12,
Wisconsin,10/22/16,SurveyMonkey,C-,1524,lv,43,42,WI,17,
West Virginia,8/20/16,SurveyMonkey,C-,698,rv,27,52,WV,80,
Pennsylvania,10/29/16,SurveyMonkey,C-,2078,lv,48,42,PA,10,
Louisiana,9/26/16,Ipsos,A-,463,lv,35.53,50.88,LA,43,
Montana,9/19/16,Ipsos,A-,144,lv,39.76,53.47,MT,50,
Hawaii,9/30/16,Google Consumer Surveys,B,59,lv,62.08,16.96,HI,39,
North Carolina,10/12/16,SurveyMonkey,C-,1191,lv,46,40,NC,27,
Virginia,9/22/16,Ipsos,A-,849,lv,48.26,40.35,VA,47,
Missouri,10/27/16,SurveyMonkey,C-,568,lv,39,46,MO,12,
Georgia,8/6/16,Gravis Marketing,B-,1604,rv,39,43,GA,94,
Oklahoma,10/28/16,SurveyMonkey,C-,472,lv,31,54,OK,11,
Iowa,9/26/16,Ipsos,A-,359,lv,44.43,46.18,IA,43,
Georgia,10/12/16,Google Consumer Surveys,B,489,lv,30.22,41.25,GA,27,
Oregon,10/28/16,SurveyMonkey,C-,743,lv,51,36,OR,11,
Alabama,10/27/16,SurveyMonkey,C-,410,lv,36,54,AL,12,
