"","state","Pollster","Obama","McCain","middate","days.until"
"491","MI","ARG-4",48,46,"9/17/08",48
"492","MI","Quinnipiac U.-8",48,44,"9/17/08",48
"493","MI","Marketing Resource Grp.-5",43,46,"9/17/08",48
"494","MI","Marist Coll.-2",52,43,"9/16/08",49
"495","MI","EPIC-MRA-4",43,42,"9/15/08",50
"496","MI","U. of Wisconsin-4",48,44,"9/15/08",50
"497","MI","Rasmussen-1",51,46,"9/10/08",55
"498","MI","Insider Advantage-2",44,45,"9/9/08",56
"499","MI","Opinion Research-3",49,45,"9/8/08",57
"500","MI","EPIC-MRA-4",43,41,"8/19/08",77
"501","MI","Selzer-4",46,39,"8/18/08",78
"502","MI","Rasmussen-1",47,40,"8/7/08",89
"503","MI","Quinnipiac U.-9",46,42,"7/18/08",109
"504","MI","EPIC-MRA-4",43,41,"7/14/08",113
"505","MI","Rasmussen-1",50,42,"7/10/08",117
"506","MI","Quinnipiac U.-8",48,42,"6/20/08",137
"507","MI","Rasmussen-1",45,42,"6/9/08",148
"508","MI","SurveyUSA-2",37,41,"5/27/08",161
"509","MI","EPIC-MRA-4",40,44,"5/20/08",168
"510","MI","Rasmussen-1",44,45,"5/8/08",180
"511","MI","Rasmussen-1",44,45,"5/7/08",181
"512","MI","EPIC-MRA-6",43,41,"4/5/08",213
"513","MI","Rasmussen-1",42,43,"3/25/08",224
"514","MI","Rasmussen-1",41,44,"3/10/08",239
"515","MI","SurveyUSA-3",46,45,"2/27/08",251
"516","MI","Election 2004-1",51,48,"1/1/08",308
"517","MN","SurveyUSA-3",49,46,"10/31/08",4
"518","MN","Princeton Survey-3",53,42,"10/30/08",5
"519","MN","Rasmussen-1",55,43,"10/28/08",7
"520","MN","Research 2000-3",53,38,"10/28/08",7
"521","MN","Mason-Dixon-2",48,40,"10/27/08",8
"522","MN","U. of Minnesota-5",56,37,"10/26/08",9
"523","MN","Rasmussen-1",56,41,"10/22/08",13
"524","MN","U. of Wisconsin-4",57,38,"10/20/08",15
"525","MN","Financial Dynamics-5",50,40,"10/18/08",17
"526","MN","St. Cloud State U.-9",42,37,"10/18/08",17
"527","MN","SurveyUSA-3",50,44,"10/17/08",18
"528","MN","Princeton Survey-2",52,41,"10/16/08",19
"529","MN","Star Tribune-2",52,41,"10/16/08",19
"530","MN","Research 2000-2",52,39,"10/15/08",20
"531","MN","Quinnipiac U.-5",51,40,"10/10/08",25
"532","MN","Rasmussen-1",52,45,"10/7/08",28
"533","MN","SurveyUSA-2",49,47,"10/6/08",29
"534","MN","ARG-4",47,46,"10/5/08",30
"535","MN","U. of Minnesota-3",54,40,"10/4/08",31
"536","MN","Princeton Survey-3",55,37,"10/1/08",34
"537","MN","SurveyUSA-2",46,47,"9/30/08",35
"538","MN","Opinion Research-3",54,43,"9/29/08",36
"539","MN","ARG-3",48,47,"9/19/08",46
"540","MN","Rasmussen-1",52,44,"9/18/08",47
"541","MN","Quinnipiac U.-8",47,45,"9/17/08",48
"542","MN","U. of Wisconsin-4",47,45,"9/15/08",50
"543","MN","Princeton Survey-3",45,45,"9/11/08",54
"544","MN","SurveyUSA-2",49,47,"9/10/08",55
"545","MN","Opinion Research-3",53,41,"9/1/08",64
"546","MN","SurveyUSA-2",47,45,"8/13/08",83
"547","MN","Rasmussen-1",46,42,"8/13/08",83
"548","MN","U. of Minnesota-11",48,38,"8/12/08",84
"549","MN","Rasmussen-1",49,37,"7/22/08",105
"550","MN","Quinnipiac U.-9",46,44,"7/18/08",109
"551","MN","Rasmussen-1",52,34,"7/10/08",117
"552","MN","Quinnipiac U.-8",54,37,"6/20/08",137
"553","MN","SurveyUSA-4",47,46,"6/14/08",143
"554","MN","Rasmussen-1",52,39,"6/11/08",146
"555","MN","Rasmussen-1",53,38,"5/22/08",166
"556","MN","SurveyUSA-3",47,42,"5/17/08",171
"557","MN","Star Tribune-4",51,38,"5/13/08",175
"558","MN","Rasmussen-1",52,38,"4/22/08",196
"559","MN","SurveyUSA-3",49,43,"4/12/08",206
"560","MN","Rasmussen-1",47,43,"3/19/08",230
"561","MN","SurveyUSA-3",46,47,"3/15/08",234
"562","MN","SurveyUSA-3",49,42,"2/27/08",251
"563","MN","Rasmussen-1",53,38,"2/16/08",262
"564","MN","SurveyUSA-3",55,40,"2/16/08",262
"565","MN","Election 2004-1",51,48,"1/1/08",308
"566","MS","Research 2000-3",40,53,"10/28/08",7
"567","MS","Rasmussen-1",45,53,"10/27/08",8
"568","MS","U. of South Alabama-11",33,46,"10/18/08",17
"569","MS","USA Polling Group-11",33,46,"10/18/08",17
"570","MS","Research 2000-2",40,50,"10/14/08",21
"571","MS","Rasmussen-1",44,52,"9/30/08",35
"572","MS","ARG-4",39,55,"9/14/08",51
"573","MS","Research 2000-3",39,52,"9/9/08",56
"574","MS","Rasmussen-1",41,54,"8/21/08",75
"575","MS","Rasmussen-1",41,52,"7/28/08",99
"576","MS","Research 2000-3",42,51,"7/22/08",105
"577","MS","Rasmussen-1",44,50,"6/24/08",133
"578","MS","Rasmussen-1",44,50,"5/27/08",161
"579","MS","Research 2000-3",39,54,"5/20/08",168
"580","MS","SurveyUSA-3",41,54,"2/27/08",251
"581","MS","Election 2004-1",40,60,"1/1/08",308
"582","MO","Zogby-4",47,46,"10/31/08",4
"583","MO","Mason-Dixon-2",46,47,"10/29/08",6
"584","MO","Insider Advantage-1",47,50,"10/29/08",6
"585","MO","ARG-3",48,48,"10/29/08",6
"586","MO","Rasmussen-1",48,47,"10/26/08",9
"587","MO","SurveyUSA-2",48,48,"10/25/08",10
"588","MO","Opinion Research-6",48,50,"10/25/08",10
"589","MO","Zogby-4",48,46,"10/24/08",11
"590","MO","Mason-Dixon-2",45,46,"10/22/08",13
"591","MO","Research 2000-4",48,47,"10/21/08",14
"592","MO","Rasmussen-1",49,44,"10/19/08",16
"593","MO","Suffolk U.-3",44,45,"10/18/08",17
"594","MO","Rasmussen-1",52,46,"10/15/08",20
"595","MO","Opinion Research-4",48,49,"10/12/08",23
"596","MO","Rasmussen-1",50,47,"10/12/08",23
"597","MO","SurveyUSA-2",51,43,"10/11/08",24
"598","MO","Rasmussen-1",50,47,"10/5/08",30
"599","MO","ARG-3",46,49,"10/5/08",30
"600","MO","Opinion Research-3",49,48,"9/29/08",36
"601","MO","SurveyUSA-2",46,48,"9/23/08",42
"602","MO","Research 2000-3",46,47,"9/23/08",42
"603","MO","Research 2000-4",45,49,"9/16/08",49
"604","MO","ARG-5",45,50,"9/13/08",52
"605","MO","Rasmussen-1",46,51,"9/11/08",54
"606","MO","Opinion Research-3",45,50,"9/8/08",57
"607","MO","Rasmussen-1",41,48,"8/7/08",89
"608","MO","SurveyUSA-3",44,49,"7/30/08",97
"609","MO","Research 2000-4",48,43,"7/8/08",119
"610","MO","Rasmussen-1",42,47,"7/7/08",120
"611","MO","SurveyUSA-3",43,50,"6/21/08",136
"612","MO","Rasmussen-1",43,42,"6/3/08",154
"613","MO","SurveyUSA-3",45,43,"5/17/08",171
"614","MO","Rasmussen-1",41,47,"5/6/08",182
"615","MO","SurveyUSA-3",42,50,"4/12/08",206
"616","MO","Rasmussen-1",38,53,"3/24/08",225
"617","MO","SurveyUSA-3",39,53,"3/15/08",234
"618","MO","SurveyUSA-3",42,48,"2/27/08",251
"619","MO","SurveyUSA-3",49,43,"2/16/08",262
"620","MO","Rasmussen-1",40,42,"2/12/08",266
"621","MO","Election 2004-1",46,53,"1/1/08",308
"622","MT","Rasmussen-1",46,50,"10/29/08",6
"623","MT","Research 2000-3",44,48,"10/29/08",6
"624","MT","ARG-3",46,49,"10/29/08",6
"625","MT","Mason-Dixon-3",44,48,"10/24/08",11
"626","MT","Montana State U.-5",44,40,"10/18/08",17
"627","MT","Research 2000-2",45,49,"10/15/08",20
"628","MT","ARG-3",45,50,"10/7/08",28
"629","MT","Rasmussen-1",44,52,"10/1/08",34
"630","MT","Research 2000-3",39,52,"9/23/08",42
"631","MT","Opinion Research-3",43,54,"9/22/08",43
"632","MT","Rasmussen-1",42,53,"9/8/08",57
"633","MT","ARG-3",47,49,"9/8/08",57
"634","MT","Rasmussen-1",44,45,"7/29/08",98
"635","MT","Rasmussen-1",48,43,"7/1/08",126
"636","MT","Mason-Dixon-3",39,47,"5/20/08",168
"637","MT","Rasmussen-1",43,48,"4/6/08",212
"638","MT","SurveyUSA-3",39,47,"2/27/08",251
"639","MT","Election 2004-1",39,59,"1/1/08",308
"640","NE","Rasmussen-1",37,56,"9/30/08",35
"641","NE","ARG-6",34,60,"9/14/08",51
"642","NE","Rasmussen-1",32,50,"7/28/08",99
"643","NE","Rasmussen-1",36,52,"6/23/08",134
"644","NE","Research 2000-3",29,57,"5/20/08",168
"645","NE","SurveyUSA-3",40,49,"5/17/08",171
"646","NE","Rasmussen-1",39,50,"5/15/08",173
"647","NE","SurveyUSA-3",42,45,"2/27/08",251
"648","NE","Election 2004-1",32,67,"1/1/08",308
"649","NV","Zogby-4",51,43,"10/31/08",4
"650","NV","Mason-Dixon-2",47,43,"10/28/08",7
"651","NV","Rasmussen-1",50,46,"10/27/08",8
"652","NV","Research 2000-4",50,45,"10/26/08",9
"653","NV","Suffolk U.-1",50,40,"10/26/08",9
"654","NV","Opinion Research-6",52,45,"10/25/08",10
"655","NV","Zogby-4",48,44,"10/24/08",11
"656","NV","GfK Roper-4",52,40,"10/24/08",11
"657","NV","Opinion Research-3",51,46,"10/20/08",15
"658","NV","Insider Advantage-1",47,47,"10/19/08",16
"659","NV","Rasmussen-1",50,45,"10/16/08",19
"660","NV","Insider Advantage-1",49,46,"10/13/08",22
"661","NV","Mason-Dixon-2",47,45,"10/8/08",27
"662","NV","Insider Advantage-1",49,47,"10/6/08",29
"663","NV","Research 2000-4",50,43,"10/4/08",31
"664","NV","Rasmussen-1",51,47,"10/2/08",33
"665","NV","Insider Advantage-1",48,47,"9/30/08",35
"666","NV","Opinion Research-3",51,47,"9/29/08",36
"667","NV","ARG-3",47,49,"9/28/08",37
"668","NV","Suffolk U.-5",45,46,"9/19/08",46
"669","NV","ARG-3",46,49,"9/13/08",52
"670","NV","Rasmussen-1",46,49,"9/11/08",54
"671","NV","Insider Advantage-2",45,46,"9/9/08",56
"672","NV","Opinion Research-3",49,44,"8/25/08",71
"673","NV","Research 2000-3",44,43,"8/19/08",77
"674","NV","Mason-Dixon-3",39,46,"8/14/08",82
"675","NV","Rasmussen-1",42,45,"8/11/08",85
"676","NV","Rasmussen-1",42,40,"7/16/08",111
"677","NV","Rasmussen-1",42,45,"6/18/08",139
"678","NV","Mason-Dixon-3",42,44,"6/10/08",147
"679","NV","Rasmussen-1",40,46,"5/20/08",168
"680","NV","Rasmussen-1",43,48,"4/21/08",197
"681","NV","Rasmussen-1",45,41,"3/19/08",230
"682","NV","SurveyUSA-3",46,41,"2/27/08",251
"683","NV","Rasmussen-1",50,38,"2/12/08",266
"684","NV","Election 2004-1",48,51,"1/1/08",308
"685","NH","Rasmussen-1",50,46,"10/30/08",5
"686","NH","SurveyUSA-2",53,42,"10/29/08",6
"687","NH","Research 2000-3",51,44,"10/29/08",6
"688","NH","U. of New Hampshire-3",53,39,"10/29/08",6
"689","NH","ARG-3",56,41,"10/29/08",6
"690","NH","Suffolk U.-3",53,40,"10/28/08",7
"691","NH","U. of New Hampshire-3",58,33,"10/26/08",9
"692","NH","Mason-Dixon-3",50,39,"10/24/08",11
"693","NH","GfK Roper-5",55,37,"10/24/08",11
"694","NH","Rasmussen-1",50,46,"10/23/08",12
"695","NH","Marist Coll.-2",50,45,"10/22/08",13
"696","NH","U. of New Hampshire-5",54,39,"10/20/08",15
"697","NH","Research 2000-3",50,43,"10/18/08",17
"698","NH","ARG-3",52,43,"10/7/08",28
"699","NH","SurveyUSA-2",53,40,"10/4/08",31
"700","NH","Opinion Research-4",53,45,"10/4/08",31
"701","NH","Rasmussen-1",53,43,"10/1/08",34
"702","NH","Saint Anselm Coll.-6",49,37,"9/27/08",38
"703","NH","Rasmussen-1",47,49,"9/23/08",42
"704","NH","Research 2000-3",48,44,"9/23/08",42
"705","NH","Suffolk U.-5",46,45,"9/22/08",43
"706","NH","Financial Dynamics-5",44,43,"9/20/08",45
"707","NH","Marist Coll.-5",51,45,"9/19/08",46
"708","NH","U. of New Hampshire-8",45,47,"9/17/08",48
"709","NH","ARG-3",45,48,"9/14/08",51
"710","NH","Opinion Research-3",51,45,"9/8/08",57
"711","NH","Rasmussen-1",43,42,"8/19/08",77
"712","NH","ARG-3",46,45,"8/19/08",77
"713","NH","Rasmussen-1",47,41,"7/23/08",104
"714","NH","ARG-3",47,45,"7/20/08",107
"715","NH","U. of New Hampshire-10",46,43,"7/15/08",112
"716","NH","Rasmussen-1",50,39,"6/18/08",139
"717","NH","ARG-5",51,39,"6/15/08",142
"718","NH","Rasmussen-1",48,43,"5/21/08",167
"719","NH","Rasmussen-1",41,51,"4/30/08",188
"720","NH","Dartmouth Coll.-5",39,42,"4/30/08",188
"721","NH","U. of New Hampshire-6",43,49,"4/27/08",191
"722","NH","Rasmussen-1",43,46,"3/16/08",233
"723","NH","SurveyUSA-3",46,44,"2/27/08",251
"724","NH","Rasmussen-1",49,36,"2/11/08",267
"725","NH","Election 2004-1",50,49,"1/1/08",308
"726","NJ","SurveyUSA-2",52,42,"10/29/08",6
"727","NJ","Research 2000-3",54,38,"10/27/08",8
"728","NJ","Monmouth U.-7",55,34,"10/27/08",8
"729","NJ","Fairleigh Dickinson U.-7",53,35,"10/26/08",9
"730","NJ","Marist Coll.-2",56,39,"10/20/08",15
"731","NJ","Quinnipiac U.-4",59,36,"10/17/08",18
"732","NJ","Monmouth U.-4",55,38,"10/16/08",19
"733","NJ","SurveyUSA-2",55,40,"10/11/08",24
"734","NJ","Rasmussen-1",50,42,"10/7/08",28
"735","NJ","Fairleigh Dickinson U.-7",50,37,"10/2/08",33
"736","NJ","SurveyUSA-2",52,42,"9/27/08",38
"737","NJ","ARG-3",51,42,"9/20/08",45
"738","NJ","Rasmussen-1",55,42,"9/16/08",49
"739","NJ","Monmouth U.-4",49,41,"9/12/08",53
"740","NJ","Quinnipiac U.-5",48,45,"9/12/08",53
"741","NJ","Research 2000-3",50,41,"9/10/08",55
"742","NJ","Marist Coll.-4",48,45,"9/6/08",59
"743","NJ","Fairleigh Dickinson U.-4",47,41,"9/5/08",60
"744","NJ","Quinnipiac U.-7",51,41,"8/7/08",89
"745","NJ","Rasmussen-1",48,40,"8/4/08",92
"746","NJ","Monmouth U.-5",50,36,"7/19/08",108
"747","NJ","Rasmussen-31",44,39,"6/22/08",135
"748","NJ","Fairleigh Dickinson U.-7",49,33,"6/20/08",137
"749","NJ","Quinnipiac U.-4",45,39,"6/6/08",151
"750","NJ","Rasmussen-1",48,39,"6/4/08",153
"751","NJ","Research 2000-5",48,40,"4/27/08",191
"752","NJ","Monmouth U.-5",56,32,"4/26/08",192
"753","NJ","Rasmussen-1",45,46,"3/27/08",222
"754","NJ","Fairleigh Dickinson U.-7",47,42,"3/27/08",222
"755","NJ","Rasmussen-1",43,45,"2/27/08",251
"756","NJ","SurveyUSA-3",43,43,"2/27/08",251
"757","NJ","Fairleigh Dickinson U.-7",43,38,"2/21/08",257
"758","NJ","Quinnipiac U.-6",46,39,"2/15/08",263
"759","NJ","Election 2004-1",53,47,"1/1/08",308
"760","NM","SurveyUSA-3",52,45,"10/30/08",5
"761","NM","Research and Polling-3",51,43,"10/29/08",6
"762","NM","Rasmussen-1",54,44,"10/28/08",7
"763","NM","Rasmussen-1",55,42,"10/13/08",22
"764","NM","SurveyUSA-2",52,45,"10/12/08",23
"765","NM","Rasmussen-1",49,44,"10/1/08",34
"766","NM","Research and Polling-4",45,40,"9/30/08",35
"767","NM","SurveyUSA-2",52,44,"9/29/08",36
"768","NM","ARG-3",51,44,"9/15/08",50
"769","NM","SurveyUSA-3",52,44,"9/15/08",50
"770","NM","Financial Dynamics-5",49,42,"9/13/08",52
"771","NM","Rasmussen-1",47,49,"9/8/08",57
"772","NM","Opinion Research-3",53,40,"8/25/08",71
"773","NM","Rasmussen-1",47,41,"8/20/08",76
"774","NM","Mason-Dixon-3",41,45,"8/14/08",82
"775","NM","Rasmussen-1",46,41,"7/24/08",103
"776","NM","Rasmussen-1",47,39,"6/18/08",139
"777","NM","SurveyUSA-3",49,46,"6/18/08",139
"778","NM","SurveyUSA-3",44,44,"5/17/08",171
"779","NM","Rasmussen-1",50,41,"5/14/08",174
"780","NM","SurveyUSA-3",44,50,"4/12/08",206
"781","NM","Rasmussen-1",45,42,"4/8/08",210
"782","NM","SurveyUSA-3",51,45,"3/15/08",234
"783","NM","SurveyUSA-3",50,43,"2/27/08",251
"784","NM","Rasmussen-2",44,44,"2/17/08",261
"785","NM","SurveyUSA-3",55,40,"2/16/08",262
"786","NM","SurveyUSA-2",41,50,"1/20/08",289
"787","NM","Election 2004-1",49,50,"1/1/08",308
"788","NY","SurveyUSA-2",62,33,"10/27/08",8
"789","NY","Marist Coll.-2",65,29,"10/21/08",14
"790","NY","Siena Coll.-3",62,31,"10/20/08",15
"791","NY","Rasmussen-1",57,37,"10/14/08",21
"792","NY","SurveyUSA-2",64,31,"10/11/08",24
"793","NY","Siena Coll.-3",58,36,"9/29/08",36
"794","NY","SurveyUSA-2",57,38,"9/23/08",42
"795","NY","Rasmussen-1",55,42,"9/15/08",50
"796","NY","ARG-3",55,38,"9/15/08",50
"797","NY","Siena Coll.-3",46,41,"9/9/08",56
"798","NY","Siena Coll.-4",47,39,"8/12/08",84
"799","NY","Rasmussen-1",52,32,"8/4/08",92
"800","NY","Quinnipiac U.-5",57,36,"8/2/08",94
"801","NY","Siena Coll.-13",44,26,"7/23/08",104
"802","NY","Siena Coll.-4",50,37,"7/8/08",119
"803","NY","Rasmussen-1",60,29,"6/30/08",127
"804","NY","SurveyUSA-3",57,37,"6/26/08",131
"805","NY","Siena Coll.-3",51,33,"6/10/08",147
"806","NY","NY Times-6",51,32,"6/8/08",149
"807","NY","Quinnipiac U.-6",50,36,"6/5/08",152
"808","NY","Rasmussen-1",52,33,"5/28/08",160
"809","NY","SurveyUSA-3",48,38,"5/17/08",171
"810","NY","SurveyUSA-2",48,38,"5/16/08",172
"811","NY","Siena Coll.-3",49,38,"5/13/08",175
"812","NY","Rasmussen-1",52,35,"5/1/08",187
"813","NY","Quinnipiac U.-2",47,39,"4/14/08",204
"814","NY","Siena Coll.-4",45,40,"4/14/08",204
"815","NY","SurveyUSA-3",52,43,"4/12/08",206
"816","NY","Marist Coll.-6",46,48,"4/5/08",213
"817","NY","Quinnipiac U.-3",49,38,"3/17/08",232
"818","NY","SurveyUSA-3",52,44,"3/15/08",234
"819","NY","Rasmussen-1",51,38,"3/11/08",238
"820","NY","SurveyUSA-3",52,38,"2/27/08",251
"821","NY","SurveyUSA-3",57,36,"2/16/08",262
"822","NY","Siena Coll.-4",47,40,"2/12/08",266
"823","NY","SurveyUSA-2",49,43,"1/20/08",289
"824","NY","Siena Coll.-4",44,42,"1/15/08",294
"825","NY","Election 2004-1",58,41,"1/1/08",308
"826","NC","Zogby-4",48,49,"10/31/08",4
"827","NC","Mason-Dixon-2",46,49,"10/29/08",6
"828","NC","Insider Advantage-1",48,48,"10/29/08",6
"829","NC","Rasmussen-1",50,48,"10/29/08",6
"830","NC","Research 2000-3",47,45,"10/29/08",6
"831","NC","Elon U.-4",45,38,"10/28/08",7
"832","NC","Rasmussen-1",48,49,"10/26/08",9
"833","NC","Opinion Research-6",52,46,"10/25/08",10
"834","NC","Financial Dynamics-5",47,43,"10/25/08",10
"835","NC","Zogby-4",50,46,"10/24/08",11
"836","NC","GfK Roper-5",48,46,"10/24/08",11
"837","NC","Rasmussen-1",48,50,"10/23/08",12
"838","NC","Mason-Dixon-3",47,47,"10/23/08",12
"839","NC","Marshall Marketing-2",48,46,"10/20/08",15
"840","NC","Opinion Research-3",51,47,"10/20/08",15
"841","NC","Insider Advantage-1",49,48,"10/19/08",16
"842","NC","Rasmussen-1",51,48,"10/19/08",16
"843","NC","SurveyUSA-3",47,47,"10/19/08",16
"844","NC","Research 2000-2",46,44,"10/14/08",21
"845","NC","Insider Advantage-1",48,46,"10/13/08",22
"846","NC","Rasmussen-1",48,48,"10/12/08",23
"847","NC","Winthrop U.-22",45,44,"10/8/08",27
"848","NC","Rasmussen-1",49,48,"10/8/08",27
"849","NC","Marshall Marketing-2",46,48,"10/6/08",29
"850","NC","SurveyUSA-2",46,49,"10/5/08",30
"851","NC","Opinion Research-4",49,49,"10/4/08",31
"852","NC","Rasmussen-1",50,47,"9/30/08",35
"853","NC","ARG-3",46,49,"9/28/08",37
"854","NC","Rasmussen-1",49,47,"9/23/08",42
"855","NC","Rasmussen-1",47,50,"9/18/08",47
"856","NC","Elon U.-4",35,41,"9/16/08",49
"857","NC","Opinion Research-3",47,48,"9/15/08",50
"858","NC","ARG-4",41,52,"9/14/08",51
"859","NC","Research 2000-3",38,55,"9/9/08",56
"860","NC","SurveyUSA-3",38,58,"9/7/08",58
"861","NC","Insider Advantage-1",43,45,"8/19/08",77
"862","NC","Rasmussen-1",42,46,"8/13/08",83
"863","NC","SurveyUSA-3",45,49,"8/10/08",86
"864","NC","Rasmussen-1",42,45,"7/15/08",112
"865","NC","SurveyUSA-3",45,50,"7/13/08",114
"866","NC","Rasmussen-1",43,45,"6/10/08",147
"867","NC","SurveyUSA-3",43,51,"5/18/08",170
"868","NC","Rasmussen-1",45,48,"5/8/08",180
"869","NC","Research 2000-3",41,50,"4/29/08",189
"870","NC","Rasmussen-1",47,47,"4/10/08",208
"871","NC","Tel Opinion Research-2",39,48,"4/9/08",209
"872","NC","Rasmussen-1",42,51,"3/20/08",229
"873","NC","SurveyUSA-3",45,47,"2/27/08",251
"874","NC","Election 2004-1",44,56,"1/1/08",308
"875","ND","Research 2000-2",46,47,"10/28/08",7
"876","ND","Research 2000-2",45,45,"10/14/08",21
"877","ND","Minnesota State U.-3",45,43,"10/7/08",28
"878","ND","Research 2000-2",40,53,"9/16/08",49
"879","ND","ARG-3",43,52,"9/16/08",49
"880","ND","Rasmussen-1",41,55,"9/8/08",57
"881","ND","DFM Research-5",43,40,"8/25/08",71
"882","ND","Research 2000-3",42,45,"7/22/08",105
"883","ND","Rasmussen-1",43,43,"7/8/08",119
"884","ND","Dakota Wesleyan U.-11",38,44,"3/29/08",220
"885","ND","SurveyUSA-3",46,42,"2/27/08",251
"886","ND","Election 2004-1",36,63,"1/1/08",308
"887","OH","Zogby-4",50,44,"10/31/08",4
"888","OH","Mason-Dixon-2",45,47,"10/29/08",6
"889","OH","SurveyUSA-2",49,45,"10/26/08",9
"890","OH","Columbus Dispatch-10",52,46,"10/26/08",9
"891","OH","Rasmussen-1",49,45,"10/26/08",9
"892","OH","LA Times-3",49,40,"10/26/08",9
"893","OH","Opinion Research-6",51,47,"10/25/08",10
"894","OH","Marist Coll.-3",48,45,"10/25/08",10
"895","OH","Financial Dynamics-5",48,41,"10/25/08",10
"896","OH","Zogby-4",50,45,"10/24/08",11
"897","OH","GfK Roper-5",48,41,"10/24/08",11
"898","OH","Quinnipiac U.-5",51,42,"10/24/08",11
"899","OH","Insider Advantage-1",52,42,"10/22/08",13
"900","OH","U. of Wisconsin-4",53,41,"10/20/08",15
"901","OH","Opinion Research-3",50,46,"10/20/08",15
"902","OH","U. of Cincinnati-5",49,46,"10/20/08",15
"903","OH","Rasmussen-1",47,49,"10/19/08",16
"904","OH","Quinnipiac U.-6",52,38,"10/18/08",17
"905","OH","Suffolk U.-4",51,42,"10/17/08",18
"906","OH","Ohio U.-12",57,41,"10/17/08",18
"907","OH","Mason-Dixon-2",45,46,"10/16/08",19
"908","OH","Rasmussen-1",49,49,"10/14/08",21
"909","OH","SurveyUSA-2",50,45,"10/12/08",23
"910","OH","Rasmussen-1",49,47,"10/12/08",23
"911","OH","Insider Advantage-1",49,44,"10/9/08",26
"912","OH","Marist Coll.-4",49,45,"10/6/08",29
"913","OH","U. of Cincinnati-5",46,48,"10/6/08",29
"914","OH","ARG-4",48,45,"10/5/08",30
"915","OH","Rasmussen-1",47,48,"10/5/08",30
"916","OH","Opinion Research-4",50,47,"10/4/08",31
"917","OH","U. of Akron-22",45,41,"10/4/08",31
"918","OH","ABC News-3",51,45,"10/4/08",31
"919","OH","Washington Post-3",51,45,"10/4/08",31
"920","OH","Insider Advantage-1",47,45,"9/29/08",36
"921","OH","SurveyUSA-2",48,49,"9/28/08",37
"922","OH","Columbus Dispatch-10",49,42,"9/28/08",37
"923","OH","Rasmussen-1",47,48,"9/28/08",37
"924","OH","Quinnipiac U.-3",50,42,"9/28/08",37
"925","OH","Rasmussen-1",46,47,"9/23/08",42
"926","OH","Insider Advantage-1",46,46,"9/22/08",43
"927","OH","Rasmussen-1",46,50,"9/21/08",44
"928","OH","U. of Wisconsin-4",46,45,"9/15/08",50
"929","OH","Opinion Research-3",49,47,"9/15/08",50
"930","OH","Rasmussen-1",45,48,"9/14/08",51
"931","OH","U. of Cincinnati-5",42,48,"9/14/08",51
"932","OH","SurveyUSA-3",45,49,"9/13/08",52
"933","OH","Financial Dynamics-5",41,42,"9/13/08",52
"934","OH","Marist Coll.-5",47,45,"9/13/08",52
"935","OH","Suffolk U.-4",42,46,"9/11/08",54
"936","OH","ARG-4",44,50,"9/11/08",54
"937","OH","Insider Advantage-2",47,48,"9/9/08",56
"938","OH","U. of Cincinnati-6",44,48,"9/7/08",58
"939","OH","Rasmussen-1",44,51,"9/7/08",58
"940","OH","Quinnipiac U.-5",49,44,"9/7/08",58
"941","OH","Opinion Research-3",47,45,"9/1/08",64
"942","OH","Quinnipiac U.-8",44,43,"8/20/08",76
"943","OH","Rasmussen-1",41,45,"8/18/08",78
"944","OH","Columbus Dispatch-10",41,42,"8/16/08",80
"945","OH","U. of Akron-32",40,40,"8/1/08",95
"946","OH","Quinnipiac U.-7",46,44,"7/26/08",101
"947","OH","Rasmussen-1",40,46,"7/21/08",106
"948","OH","SurveyUSA-3",48,46,"6/21/08",136
"949","OH","Rasmussen-1",43,44,"6/17/08",140
"950","OH","Quinnipiac U.-8",48,42,"6/12/08",145
"951","OH","SurveyUSA-3",48,39,"5/17/08",171
"952","OH","Quinnipiac U.-8",40,44,"5/16/08",172
"953","OH","Rasmussen-1",44,45,"5/14/08",174
"954","OH","Quinnipiac U.-7",42,43,"4/26/08",192
"955","OH","SurveyUSA-3",45,47,"4/12/08",206
"956","OH","Rasmussen-1",40,47,"4/8/08",210
"957","OH","Quinnipiac U.-8",43,42,"3/27/08",222
"958","OH","SurveyUSA-3",43,50,"3/15/08",234
"959","OH","Rasmussen-1",40,46,"3/13/08",236
"960","OH","SurveyUSA-3",50,40,"2/27/08",251
"961","OH","U. of Cincinnati-4",48,47,"2/22/08",256
"962","OH","Rasmussen-1",41,42,"2/17/08",261
"963","OH","SurveyUSA-3",47,44,"2/16/08",262
"964","OH","Quinnipiac U.-7",40,42,"2/9/08",269
"965","OH","SurveyUSA-3",43,50,"1/5/08",304
"966","OH","Election 2004-1",49,51,"1/1/08",308
"967","OK","SurveyUSA-2",34,63,"10/28/08",7
"968","OK","SurveyUSA-2",35,59,"10/18/08",17
"969","OK","TV Poll-3",32,63,"10/11/08",24
"970","OK","TV Poll-2",29,66,"10/4/08",31
"971","OK","SurveyUSA-2",34,64,"9/28/08",37
"972","OK","Research 2000-2",36,59,"9/16/08",49
"973","OK","ARG-4",34,61,"9/16/08",49
"974","OK","Rasmussen-1",32,63,"9/11/08",54
"975","OK","SurveyUSA-3",32,65,"9/6/08",59
"976","OK","Sooner Poll-5",24,56,"7/21/08",106
"977","OK","Research 2000-3",38,52,"6/10/08",147
"978","OK","SurveyUSA-3",34,57,"2/27/08",251
"979","OK","Election 2004-1",34,66,"1/1/08",308
